Name,Director,Actors   ,As a Phrase,Includes,Excludes,Hashtags,General Limitation,Note
Kumiko The Treasure Hunter,No,No,Yes,,,No,No,Source: IMDB 
Kung Fu Killer,No,No,Yes,,,No,No,Source: IMDB 
Lambert & Stamp,No,No,Yes,,,No,No,Source: IMDB 
Learning to Drive,No,No,Yes,,,No,No,Source: IMDB 
Listen to Me Marlon                 ,No,No,Yes,,,No,No,Source: IMDB 
Little Boy,Alejandro Monteverde,"Jakob Salvati, Emily Watson, David Henrie ",Yes,,,No,Yes,Source: IMDB 
Love & Mercy,Bill Pohlad,"John Cusack, Paul Dano, Elizabeth Banks",Yes,,,No,Yes,Source: IMDB 
Love and Lost (Shi Gu), Sanyuan Peng,"Andy Lau, Boran Jing, Tony Ka Fai Leung",Yes,,,No,Yes,Source: IMDB 
Mad Max: Fury Road,No,No,Yes,,,No,No,Source: IMDB 
Magic Mike XXL,No,No,Yes,,,No,No,Source: IMDB 
Mala Mala  ,"Antonio Santini, Dan Sickles","Jason Carri_n, Paxx Moll, Alberic Prados ",Yes,,,No,Yes,Source: IMDB 
Man From Reno,No,No,Yes,,,No,No,Source: IMDB 
Manglehorn,No,No,No,,,#Manglehorn,No,Source: IMDB 
Maps to the Stars,No,No,Yes,,,No,No,Source: IMDB 
Max (2015),Boaz Yakin,"Thomas Haden Church, Josh Wiggins, Luke Kleintank",Yes,,,No,Yes,Source: IMDB 
McFarland USA,No,No,Yes,want to run,,#McFarlandUSA,Yes,Source: IMDB 
Me and Earl and the Dying Girl,No,No,Yes,,,No,No,Source: IMDB 
Merchants of Doubt,No,No,No,No,,No,Yes,Source: IMDB 
Minions,"Kyle Balda, Pierre Coffin"," Sandra Bullock, Jon Hamm, Michael Keaton ",No,,,No,Yes,Source: IMDB 
Misery Loves Comedy,No,No,Yes,,,No,No,Source: IMDB 
Mission: Impossible - Rogue Nation,No,No,Yes,,,No,No,Source: IMDB 
Mistress America,No,No,Yes,,,No,No,Source: IMDB 
Monkey Kingdom,"Mark Linfield, Alastair Fothergill", Tina Fey ,Yes,,,No,Yes,Source: IMDB 
Mr. Holmes,Bill Condon,"Ian McKellen, Laura Linney, Hiroyuki Sanada",Yes,,,No,Yes,Source: IMDB 
Murder in the Park,"Christopher S. Rech, Brandon Kimber","Dexter Hammett, Joseph Alex, Jason Patrick",Yes,,,No,Yes,Source: IMDB 
Nowitzki,No,No,No,Perfect Shot,,#Nowitzki,Yes,Source: IMDB 
Number One Fan,No,No,Yes,,,No,No,Source: IMDB 
Paper Towns,No,No,Yes,,,No,No,Source: IMDB 
Paul Blart Mall Cop 2,No,No,Yes,,,No,No,Source: IMDB 
Phoenix (2015),No,No,Yes,,,No,Yes,Source: IMDB 
Pitch Perfect 2,No,No,Yes,,,No,No,Source: IMDB 
Pixels,Chris Columbus,"Adam Sandler, Kevin James, Michelle Monaghan",No,,,No,Yes,Source: IMDB 
Poltergeist (2015),No,No,No,,,No,No,Source: IMDB 
Ricki and the Flash,No,No,Yes,,,No,No,Source: IMDB 
Rififi (2015 re-release),Jules Dassin,"Jules Dassin
Robert Manuel
Carl Mohner",Yes,,,No,Yes,Source: Mojobox.  http://www.boxofficemojo.com/movies/?id=rififi15.htm
Run All Night, Jaume Collet-Serra,"Liam Neeson, Ed Harris, Joel Kinnaman",Yes,,,No,Yes,Source: IMDB 
Runoff,Kimberly Levin      ,"Joanne Kelly, Neal Huff, Alex Shaffer",No,,,No,Yes,Source: IMDB 
Saint Laurent,Bertrand Bonello,"Gaspard Ulliel,  J_r_mie Renier,  Louis Garrel",Yes,,,No,Yes,Source: IMDB 
San Andreas,Brad Peyton,"Dwayne Johnson, Carla Gugino, Alexandra Daddario",Yes,,,No,Yes,Source: IMDB 
Self/Less,Tarsem Singh,"Ryan Reynolds, Natalie Martinez, Matthew Goode",Yes,,,No,Yes,Source: IMDB 
Serena,Susanne Bier," Bradley Cooper, Jennifer Lawrence, Sean Harris",Yes,,_@serena_bouta ,No,Yes,Source: IMDB 
Set Fire to the Stars,Andy Goddard,"Elijah Wood, Celyn Jones, Kelly Reilly",Yes,,,No,Yes,Source: IMDB 
Seymour An Introduction,No,No,Yes,,,No,No,Source: IMDB 
Shaun the Sheep Movie,No,No,Yes,,,No,No,Source: IMDB 
She's Funny That Way,No,No,Yes,,,No,No,Source: IMDB 
Sinister 2,No,No,Yes,,,No,No,Source: IMDB 
Snow Girl and the Dark Crystal,No,No,Yes,,,No,No,Source: IMDB 
Southpaw, Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Oona Laurence ",No,,,No,Yes,Source: IMDB 
Spring,No,No,No,"Lou Taylor Pucci, Nadia Hilker, Vanessa Bednar",,No,Yes,Source: IMDB 
Spy,Paul Feig,"Melissa McCarthy, Rose Byrne, Jude Law",No,,,No,Yes,Source: IMDB 
Straight Outta Compton,No,No,Yes,,,No,No,Source: IMDB 
Sunshine Superman,No,No,Yes,,,No,No,Source: IMDB 
Tangerine, Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian",No,,,No,Yes,Source: IMDB 
Ted 2,No,No,Yes,,,No,No,Source: IMDB 
Terminator: Genisys,No,No,Yes,,,No,No,Source: IMDB 
The Age of Adaline,No,No,Yes,,,No,No,Source: IMDB 
The Diary of a Teenage Girl,No,No,Yes,,,No,No,Source: IMDB 
The Divergent Series Insurgent,No,No,Yes,,,No,No,Source: IMDB 
