ReleaseMonth,Items,Name,TotalGross,Sum4,Sum7,Week0,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Budget,ScreensWeek1,MarketShare,HorrorThriller,Drama,Sci-Fi,AnimationComputer,Documentary,Action,Romance,Comedy,Foreign,GenreCheck,TSentiScoreW0,TSentiScoreW1,TSentiScoreW2,TSentiScoreW3,TSentiScoreW4,TSentiScoreW5,TSentiScoreW6,TSentiScoreW7,TVolumeW0,TVolumeW1,TVolumeW2,TVolumeW3,TVolumeW4,TVolumeW5,TVolumeW6,TVolumeW7
24-Jul-15,130,Paper Towns,32000304,30763884,31723587,0,19216439,8137925,2461636,947884,469731,247704,242268,"12,000,000",3031,10.7,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
24-Jul-15,131,Pixels,78747585,66412189,74210193,0,35211497,17003807,8902477,5294408,3022775,2014350,2760879,"88,000,000",3723,6.3,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
24-Jul-15,132,Southpaw,52421953,46887274,51547111,0,24057485,11904356,7245449,3679984,1712605,1418643,1528589,"30,000,000",2772,3.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
24-Jul-15,133,Phoenix (2015),3159651,620548,2254583,0,50558,73032,192357,304601,447905,491297,694833,N/A,2,0.1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
24-Jul-15,134,The Vatican Tapes,1784763,1784763,1784763,0,1206373,472576,51784,54030,0,0,0,N/A,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
31-Jul-15,135,Mission: Impossible - Rogue Nation,195042377,162086530,189482210,0,79254207,41882348,24926484,16023491,11150162,10785826,5459692,"150,000,000",3956,6.7,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
29-Jul-15,136,Vacation                           ,58884188,53315424,57947123,6322334,21857446,13342285,7651191,4142168,2191902,1704560,735237,"31,000,000",3310,16.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
31-Jul-15,137,Best of Enemies,891997,580494,841075,0,75338,145351,189001,170804,86855,131164,42562,N/A,3,0.1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
31-Jul-15,138,The End of the Tour,2961006,1982513,2808226,0,175345,363318,627252,816598,451276,249415,125022,N/A,4,0.6,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
31-Jul-15,139,A LEGO Brickumentary,101531,101531,101531,0,76676,14707,6187,3961,0,0,0,N/A,93,0.2,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
29-Jul-15,140,Listen to Me Marlon                 ,425831,271544,393560,8012,50758,73932,64105,74737,56158,45504,20354,N/A,2,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,
31-Jul-15,141,The Young & Prodigious T.S. Spivet ,176847,97576,100160,0,62166,12526,2967,19917,2584,0,0,N/A,100,3.2,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,142,Fantastic Four,56117548,53320511,55778154,0,33961218,12014144,4987736,2357413,1609126,557182,291335,"120,000,000",3995,10.7,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,143,The Gift (2015),43787265,37018012,43564029,0,17077323,9675840,6073280,4191569,3971725,1851998,722294,"5,000,000",2503,0.5,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,144,Ricki and the Flash,26822144,24287525,26720396,0,10085717,7164453,4531380,2505975,1614321,619355,199195,"18,000,000",1603,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,145,Shaun the Sheep Movie,19375982,16790331,19052250,1571338,6695933,4738181,2241115,1543764,1397682,552510,311727,N/A,2202,3.7,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,146,Cop Car,134552,134552,134552,0,35339,79834,19379,0,0,0,0,N/A,3,1.3,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,147,Dark Places,208588,208588,208588,0,165661,42927,0,0,0,0,0,N/A,151,0.6,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,148,The Diary of a Teenage Girl,1477002,1083348,1441271,0,82394,162277,255410,583267,250258,75451,32214,N/A,4,0.7,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
04-Aug-15,149,Dragon Ball Z: Resurrection of 'F',8008363,7802506,7802506,3946282,3856224,0,0,0,0,0,0,N/A,901,0.1,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
07-Aug-15,150,Kahlil Gibran's The Prophet,340540,232697,329684,0,35355,60991,76846,59505,46162,32448,18377,N/A,2,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
14-Aug-15,151,The Man From U.N.C.L.E.,45445109,41230454,45125911,0,19216840,10494786,6218627,5300201,2546900,1067851,280706,"75,000,000",3638,16.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
14-Aug-15,152,Straight Outta Compton,161058685,151622600,160428420,0,84723470,36162705,18049530,12686895,5328660,2596870,880290,"28,000,000",2757,27.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
14-Aug-15,153,Mistress America,2465373,1988508,2448019,0,141048,338685,594993,913782,342176,88759,28576,N/A,4,1.1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
21-Aug-15,154,American Ultra,14440985,14271340,14440985,0,7688109,4141142,1955332,486757,81089,71289,17267,"28,000,000",2778,3.7,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
21-Aug-15,155,Hitman: Agent 47,22467450,21958742,22457659,0,11420731,6128056,3371488,1038467,342048,113619,43250,"35,000,000",3261,10.7,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
21-Aug-15,156,Sinister 2,27740955,26901744,27578583,0,13861602,6478291,4888770,1673081,507381,126132,43326,"10,000,000",2766,1.3,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
21-Aug-15,157,Digging for Fire,119364,115822,118839,0,28109,61901,20772,5040,3017,0,0,N/A,3,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
21-Aug-15,158,Grandma (2015),6793921,2193719,6031316,0,177882,393132,750445,872260,2167862,1130511,539224,"600,000",4,0.7,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
21-Aug-15,159,Learning to Drive,3434080,1838297,3220983,0,91930,176019,573161,997187,761870,461858,158958,N/A,4,0.4,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
21-Aug-15,160,She's Funny That Way,111996,111996,111996,0,67646,29605,14745,0,0,0,0,N/A,26,3.7,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
28-Aug-15,161,We Are Your Friends,3591417,3591417,3591417,0,2519430,1008512,60165,3310,0,0,0,N/A,2333,16.2,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
28-Aug-15,162,The Second Mother,360679,233409,337584,0,36671,76564,63093,57081,63620,23252,17303,N/A,3,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
28-Aug-15,163,War Room,67217187,51724681,64472612,0,15313458,16474869,11050335,8886019,6019932,3975517,2752482,"3,000,000",1135,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
28-Aug-15,164,Z for Zachariah,121461,121461,121461,0,78181,35519,7761,0,0,0,0,N/A,29,0.4,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
04-Sep-15,165,The Transporter Refueled,16017954,15816587,15936806,0,10643496,3937320,1054649,181122,88331,26512,5376,N/A,3434,0.2,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,
02-Sep-15,166,A Walk in the Woods,29283554,26220374,29065842,2059000,13197925,6802591,4160858,1756218,642900,309700,136650,N/A,1849,0.4,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
04-Sep-15,167,Before We Go,37151,37151,37151,0,30337,5603,807,404,0,0,0,N/A,21,0.2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,
04-Sep-15,168,Number One Fan,15549,1623,1623,0,1623,0,0,0,0,0,0,N/A,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,
02-Sep-15,169,Rififi (2015 re-release),51241,44078,47716,0,32235,9787,1174,882,465,2175,998,N/A,2,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
04-Sep-15,170,Un Gallo con Muchos Huevos,9080818,8896251,9080818,0,4767352,2437004,1314525,377370,94848,36117,53602,N/A,395,3.7,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,
